k1,k2,epsilon,MAE
1e-06,8.376776400682924e-06,7.0,0.029489550552862197
1e-06,8.376776400682924e-06,8.0,0.029489872346402112
1e-06,8.376776400682924e-06,9.0,0.029489956155188735
1e-06,8.376776400682924e-06,10.0,0.029489978494327364
1e-06,1.0608183551394482e-05,1.0,0.022521956531509926
1e-06,1.0608183551394482e-05,2.0,0.028498241079535858
1e-06,1.0608183551394482e-05,3.0,0.0293206120874274
1e-06,1.0608183551394482e-05,4.0,0.029453214942145516
1e-06,1.0608183551394482e-05,5.0,0.029481274320778284
1e-06,1.0608183551394482e-05,6.0,0.029487826831658848
1e-06,1.0608183551394482e-05,7.0,0.02948943424812628
1e-06,1.0608183551394482e-05,8.0,0.029489841820292843
1e-06,1.0608183551394482e-05,9.0,0.029489947958397406
1e-06,1.0608183551394482e-05,10.0,0.029489976248565808
1e-06,1.3433993325988988e-05,1.0,0.02211461734193103
1e-06,1.3433993325988988e-05,2.0,0.028078670022590936
1e-06,1.3433993325988988e-05,3.0,0.029269732104814893
1e-06,1.3433993325988988e-05,4.0,0.029443090147638407
1e-06,1.3433993325988988e-05,5.0,0.029478932173024018
1e-06,1.3433993325988988e-05,6.0,0.029487249975953915
1e-06,1.3433993325988988e-05,7.0,0.029489286923519487
1e-06,1.3433993325988988e-05,8.0,0.0294898031598113
1e-06,1.3433993325988988e-05,9.0,0.029489937577930135
1e-06,1.3433993325988988e-05,10.0,0.029489973404560388
1e-06,1.7012542798525893e-05,1.0,0.022552659794851163
1e-06,1.7012542798525893e-05,2.0,0.027372927007571178
1e-06,1.7012542798525893e-05,3.0,0.029201203020133924
1e-06,1.7012542798525893e-05,4.0,0.02943006021784498
1e-06,1.7012542798525893e-05,5.0,0.02947595311210911
1e-06,1.7012542798525893e-05,6.0,0.029486518579051758
1e-06,1.7012542798525893e-05,7.0,0.029489100292631087
1e-06,1.7012542798525893e-05,8.0,0.029489754196418715
1e-06,1.7012542798525893e-05,9.0,0.029489924431970578
1e-06,1.7012542798525893e-05,10.0,0.02948996980294205
1e-06,2.1544346900318823e-05,1.0,0.02319177271629677
1e-06,2.1544346900318823e-05,2.0,0.026019277307249948
1e-06,2.1544346900318823e-05,3.0,0.029107058017695236
1e-06,2.1544346900318823e-05,4.0,0.029413215605402214
1e-06,2.1544346900318823e-05,5.0,0.029472159451289715
1e-06,2.1544346900318823e-05,6.0,0.029485590940833317
1e-06,2.1544346900318823e-05,7.0,0.0294888638475993
1e-06,2.1544346900318823e-05,8.0,0.029489692182890975
1e-06,2.1544346900318823e-05,9.0,0.029489907783638976
1e-06,2.1544346900318823e-05,10.0,0.029489965241881456
1e-06,2.7283333764867696e-05,1.0,0.02424619346384386
1e-06,2.7283333764867696e-05,2.0,0.022996558896801345
1e-06,2.7283333764867696e-05,3.0,0.028974087494069156
1e-06,2.7283333764867696e-05,4.0,0.029391311222797933
1e-06,2.7283333764867696e-05,5.0,0.02946732114609607
1e-06,2.7283333764867696e-05,6.0,0.029484413927773657
1e-06,2.7283333764867696e-05,7.0,0.029488564258802467
1e-06,2.7283333764867696e-05,8.0,0.029489613638544753
1e-06,2.7283333764867696e-05,9.0,0.02948988669964279
1e-06,2.7283333764867696e-05,10.0,0.029489959465775463
1e-06,3.455107294592218e-05,1.0,0.024980667566040202
1e-06,3.455107294592218e-05,2.0,0.020125686466342725
1e-06,3.455107294592218e-05,3.0,0.028778564209143605
1e-06,3.455107294592218e-05,4.0,0.02936260733418896
1e-06,3.455107294592218e-05,5.0,0.02946113862019062
1e-06,3.455107294592218e-05,6.0,0.02948291972745985
1e-06,3.455107294592218e-05,7.0,0.029488184609445262
1e-06,3.455107294592218e-05,8.0,0.02948951415286414
1e-06,3.455107294592218e-05,9.0,0.02948985999787649
1e-06,3.455107294592218e-05,10.0,0.029489952150919395
1e-06,4.37547937507418e-05,1.0,0.025406040171765797
1e-06,4.37547937507418e-05,2.0,0.021194006842951266
1e-06,4.37547937507418e-05,3.0,0.028472729201586354
1e-06,4.37547937507418e-05,4.0,0.029324608921924577
1e-06,4.37547937507418e-05,5.0,0.029453218857069436
